"customer_identifier","opponent","event_day_of_week","days_before_event","section_name","channel","price_level","primary_tickets_sold","churn"
"33b43b77",17,"Tuesday",0,69,"Web","R - 300L",2,0
"2103f2cb",13,"Monday",0,16,"Back Office","C - 100L",1,0
"b9b190c4",2,"Wednesday",2,56,"Web","Q - 300L",3,0
"c9fdd094",16,"Saturday",11,79,"Back Office","O - 300L",3,0
"e13026f5",22,"Wednesday",35,25,"Web","D - 100L",3,0
"234d8a65",20,"Sunday",48,78,"Back Office","R - 300L",2,0
"55c42dc4",24,"Tuesday",2,26,"Web","C - 100L",1,0
"9a7ef465",16,"Saturday",5,22,"Back Office","G - 100L",3,1
NA,7,"Monday",4,61,"Box Office","R - 300L",1,1
NA,14,"Wednesday",1,47,"Box Office","O - 300L",3,1
"cf5cc050",3,"Sunday",0,66,"Back Office","O - 300L",23,0
"33c4781e",23,"Saturday",0,56,"Web","R - 300L",4,0
"9a60d353",5,"Tuesday",50,21,"Web","I - 100L",1,0
"d113b17b",19,"Sunday",2,19,"Web","G - 100L",2,0
NA,18,"Thursday",0,61,"Box Office","R - 300L",2,1
"f24e83e3",3,"Thursday",62,16,"Web","C - 100L",2,0
"75199d0a",3,"Sunday",0,66,"Web","O - 300L",2,0
"0405037e",12,"Saturday",0,32,"Web","F -100L",5,0
"c6955500",9,"Thursday",4,22,"Web","G - 100L",1,0
"5422ffd6",29,"Monday",0,66,"Web","O - 300L",2,0
NA,18,"Saturday",0,50,"Box Office","R - 300L",2,1
"d2dbaff6",25,"Thursday",3,53,"Web","R - 300L",7,0
"853bb54e",15,"Saturday",24,20,"Back Office","G - 100L",2,0
"9699093a",29,"Monday",3,60,"Web","R - 300L",4,0
"1ec66595",22,"Wednesday",0,56,"Back Office","R - 300L",13,0
"51447052",20,"Tuesday",126,33,"Web","D - 100L",2,0
"6fd3fd70",24,"Saturday",207,40,"Web","L1 - 200L",2,0
"9d114e36",27,"Monday",236,22,"Web","I - 100L",2,1
NA,13,"Sunday",0,60,"Box Office","R - 300L",1,1
"02c974dc",27,"Saturday",12,36,"Back Office","M - 200L",2,0
NA,7,"Monday",0,20,"Back Office","G - 100L",1,1
"f0b2f647",25,"Thursday",0,72,"Web","R - 300L",3,0
"a9128fb3",12,"Saturday",3,42,"Web","L2 - 200L",6,0
"3d638b3a",21,"Sunday",25,38,"Web","M - 200L",2,0
"0e5cca63",3,"Saturday",0,31,"Back Office","H - 100L",2,1
"0a8c2d9f",31,"Tuesday",77,17,"Web","D - 100L",2,0
"6220fd1c",4,"Thursday",8,80,"Back Office","P - 300L",1,0
"531b71b0",23,"Saturday",0,48,"Web","P - 300L",3,0
"25e73dca",13,"Monday",0,21,"Back Office","I - 100L",5,1
"6c5d008e",10,"Thursday",29,16,"Web","C - 100L",2,0
"0e5cca63",30,"Thursday",0,38,"Back Office","M - 200L",5,1
"195c2762",20,"Tuesday",95,11,"Web","J",2,0
"58c40ae9",30,"Sunday",6,75,"Web","Q - 300L",1,1
"10b64fd8",25,"Saturday",17,19,"Web","G - 100L",2,0
"0e5cca63",1,"Monday",0,32,"Back Office","F -100L",3,1
NA,20,"Saturday",0,50,"Box Office","R - 300L",2,1
"34490caf",21,"Sunday",15,80,"Web","O - 300L",2,1
"b369985c",25,"Saturday",226,63,"Web","P - 300L",2,1
"c03518b9",31,"Monday",0,33,"Back Office","D - 100L",36,0
"05abbde9",19,"Thursday",108,16,"Back Office","C - 100L",4,1
"0212a54a",8,"Monday",3,77,"Web","R - 300L",1,1
"9cbad847",18,"Saturday",4,38,"Back Office","L1 - 200L",4,1
"47907d43",16,"Thursday",2,58,"Web","R - 300L",4,0
"12487b6f",18,"Saturday",12,30,"Web","H - 100L",2,0
"9a4fccf3",14,"Saturday",6,23,"Web","G - 100L",2,1
"2626cdbd",18,"Saturday",12,29,"Web","F -100L",1,0
"bb6c2038",1,"Saturday",0,42,"Back Office","K - 200L",1,0
"eede9bcc",5,"Thursday",66,25,"Back Office","D - 100L",2,0
"ceeb140f",27,"Monday",0,38,"Web","L1 - 200L",5,0
"699098c3",25,"Thursday",1,67,"Web","R - 300L",2,1
"5dd06d50",5,"Wednesday",8,27,"Web","D - 100L",1,0
"f1cfbe53",21,"Saturday",80,21,"Web","I - 100L",5,0
"eb1ca7a0",16,"Saturday",68,27,"Back Office","D - 100L",2,0
"37f8dc1a",26,"Tuesday",0,17,"Back Office","D - 100L",6,0
NA,4,"Thursday",0,61,"Box Office","R - 300L",5,1
"0e5cca63",20,"Saturday",0,38,"Back Office","M - 200L",6,1
"9a7ef465",25,"Saturday",11,19,"Back Office","G - 100L",4,1
"73aba48f",23,"Saturday",0,19,"Back Office","G - 100L",1,1
"1ec66595",22,"Wednesday",23,51,"Back Office","R - 300L",6,0
"0b147c73",2,"Monday",183,62,"Web","O - 300L",2,0
"61b7e833",27,"Monday",1,34,"Web","D - 100L",4,0
"6f995713",9,"Thursday",7,20,"Web","G - 100L",3,0
"eb1ca7a0",16,"Saturday",18,36,"Back Office","L1 - 200L",4,0
NA,26,"Sunday",4,61,"Box Office","R - 300L",1,1
"671f92e4",2,"Wednesday",33,34,"Web","D - 100L",2,0
"04b05f4b",24,"Saturday",205,16,"Web","C - 100L",3,0
"be22e65d",9,"Thursday",8,26,"Web","C - 100L",2,1
"a79eec2f",9,"Thursday",2,22,"Back Office","I - 100L",4,0
"9732d93e",31,"Saturday",0,46,"Back Office","K - 200L",2,1
"aecea456",20,"Sunday",82,53,"Back Office","R - 300L",1,0
"0e5cca63",14,"Thursday",2,78,"Back Office","R - 300L",3,1
"246cb6e4",20,"Tuesday",72,25,"Web","D - 100L",4,0
"ecd91328",9,"Thursday",17,27,"Web","D - 100L",3,0
"9a7ef465",2,"Wednesday",0,64,"Back Office","P - 300L",3,1
"7fa2b39b",1,"Monday",12,72,"Back Office","R - 300L",1,1
"1a54d299",29,"Monday",0,64,"Web","P - 300L",1,0
"ce90dc67",31,"Saturday",144,76,"Web","Q - 300L",2,1
"292e390a",27,"Monday",1,35,"Web","L1 - 200L",2,0
"c5c3d2f8",14,"Thursday",3,17,"Web","D - 100L",2,0
"e100ef25",18,"Saturday",5,47,"Web","P - 300L",3,0
"ee20e5dc",31,"Tuesday",5,70,"Web","R - 300L",5,0
"27efede9",31,"Monday",21,58,"Web","R - 300L",2,0
"e0d5e56b",25,"Saturday",7,51,"Web","R - 300L",2,0
"860e2553",14,"Wednesday",23,25,"Back Office","D - 100L",3,0
"6ead367e",18,"Tuesday",1,50,"Web","R - 300L",1,0
"1d8b984c",8,"Monday",63,4,"Web","J",2,0
NA,30,"Tuesday",0,47,"Box Office","O - 300L",2,1
"02c974dc",27,"Saturday",3,65,"Back Office","P - 300L",3,0
"6fd4131c",20,"Thursday",2,51,"Back Office","R - 300L",6,0
"2d4e832c",4,"Wednesday",2,49,"Back Office","P - 300L",7,0
"3668b117",30,"Sunday",0,40,"Box Office","L1 - 200L",1,0
"a5eb4c2b",20,"Sunday",24,16,"Web","C - 100L",4,1
"ebc2e163",3,"Saturday",25,73,"Back Office","R - 300L",4,0
"c9fdd094",16,"Saturday",0,66,"Back Office","O - 300L",15,0
"a7f2f526",21,"Sunday",51,42,"Web","L2 - 200L",3,1
"f563c7fe",9,"Thursday",10,6,"Web","J",2,0
"3e7f12af",1,"Thursday",2,16,"Web","C - 100L",4,0
"a933e995",18,"Saturday",4,27,"Back Office","D - 100L",3,0
"bd8058dc",20,"Thursday",100,23,"Web","G - 100L",4,0
"a933e995",18,"Saturday",4,64,"Back Office","P - 300L",8,0
"3d61caf5",4,"Wednesday",90,47,"Web","O - 300L",2,0
"14e2d38a",31,"Saturday",33,51,"Back Office","R - 300L",6,1
"8677d9e5",25,"Saturday",197,50,"Web","R - 300L",2,0
"0b1d6d5b",2,"Wednesday",25,29,"Web","F -100L",2,0
"b3b7c7d7",31,"Saturday",4,29,"Web","F -100L",2,1
"e2242abb",13,"Tuesday",8,67,"Web","R - 300L",2,0
"37f8dc1a",26,"Tuesday",0,72,"Back Office","R - 300L",4,0
"3e5dd910",28,"Sunday",38,40,"Web","L1 - 200L",2,0
"655bf25d",7,"Thursday",147,36,"Web","M - 200L",1,0
"e233d023",17,"Saturday",1,77,"Web","Q - 300L",3,0
"14e2d38a",31,"Saturday",22,41,"Back Office","K - 200L",4,1
"c16d8f9a",5,"Wednesday",0,64,"Web","O - 300L",3,0
"4e1e4995",1,"Saturday",5,30,"Back Office","H - 100L",3,1
"eb1ca7a0",16,"Saturday",0,29,"Back Office","F -100L",21,0
"f9d563b4",24,"Thursday",0,63,"Box Office","P - 300L",1,0
"9a7ef465",18,"Tuesday",5,72,"Back Office","R - 300L",9,1
"1fc6550a",26,"Saturday",1,37,"Web","L1 - 200L",3,0
"4a883645",13,"Monday",29,33,"Web","D - 100L",2,0
"194c59c0",21,"Sunday",0,23,"Back Office","G - 100L",4,0
"ae26752d",6,"Wednesday",0,38,"Back Office","L1 - 200L",3,0
"82afc0ad",26,"Saturday",83,31,"Web","F -100L",1,1
"853bb54e",15,"Saturday",24,39,"Back Office","M - 200L",2,0
"bb6c2038",1,"Saturday",0,65,"Back Office","P - 300L",12,0
NA,27,"Monday",0,18,"Box Office","D - 100L",4,1
"addd5ffd",27,"Thursday",37,25,"Web","D - 100L",1,0
"3401ca71",3,"Saturday",7,78,"Web","R - 300L",3,0
"dba6b98c",29,"Monday",22,25,"Web","D - 100L",1,1
NA,1,"Saturday",0,68,"Box Office","R - 300L",5,1
"e047991e",2,"Wednesday",90,43,"Back Office","L2 - 200L",1,0
"b3ba8a32",15,"Saturday",30,43,"Back Office","L2 - 200L",8,1
"b6cca27e",9,"Thursday",211,40,"Web","L1 - 200L",1,1
NA,5,"Tuesday",0,29,"Box Office","F -100L",1,1
NA,30,"Thursday",0,21,"Box Office","I - 100L",2,1
"95e3e287",18,"Saturday",25,19,"Web","G - 100L",4,0
"7f51b607",21,"Sunday",42,23,"Web","G - 100L",6,0
"14e2d38a",31,"Saturday",33,21,"Back Office","G - 100L",2,1
"34b192e0",18,"Saturday",0,71,"Web","R - 300L",2,0
"ba3b2184",17,"Saturday",2,34,"Web","D - 100L",2,0
"c2e8329d",14,"Saturday",0,64,"Box Office","O - 300L",2,0
"9d1a4141",4,"Saturday",19,28,"Back Office","D - 100L",4,0
"10257e38",3,"Thursday",3,56,"Web","Q - 300L",3,0
"d551840c",20,"Thursday",102,23,"Web","G - 100L",3,0
"a813ae2e",21,"Sunday",8,48,"Web","O - 300L",2,0
"2be95504",21,"Saturday",84,17,"Web","D - 100L",2,0
"3e049d39",13,"Sunday",13,22,"Back Office","G - 100L",3,0
"a6965ca4",3,"Tuesday",13,71,"Web","R - 300L",2,0
"ebc2e163",3,"Saturday",2,44,"Back Office","K - 200L",2,0
"14e2d38a",31,"Saturday",11,60,"Back Office","R - 300L",7,1
"5b323329",17,"Saturday",21,32,"Web","F -100L",2,0
"64b7ebfe",5,"Wednesday",42,11,"Web","J",2,0
"104374c6",29,"Monday",0,51,"Web","Q - 300L",2,1
"34ace7ad",23,"Saturday",70,32,"Web","F -100L",2,0
"706a8e8d",4,"Thursday",6,71,"Web","R - 300L",2,1
"8bb783c3",24,"Saturday",45,60,"Back Office","R - 300L",1,0
"ebdbf33d",14,"Saturday",63,21,"Web","I - 100L",2,0
"5f5916e1",10,"Wednesday",2,32,"Back Office","F -100L",12,0
"9a7ef465",2,"Wednesday",33,17,"Back Office","D - 100L",2,1
"a933e995",18,"Saturday",96,17,"Back Office","D - 100L",2,0
"2d734741",11,"Tuesday",0,23,"Back Office","D - 100L",7,1
"aec1443b",30,"Sunday",0,67,"Web","R - 300L",2,0
"21cbc9b0",17,"Saturday",0,80,"Web","P - 300L",2,0
"7a9bcd62",23,"Saturday",1,26,"Web","C - 100L",1,0
NA,11,"Thursday",0,20,"Back Office","G - 100L",6,1
"d1107fdc",10,"Thursday",76,47,"Web","P - 300L",2,0
"dc1d20d3",16,"Saturday",144,26,"Web","C - 100L",1,1
"0e5cca63",28,"Saturday",4,40,"Back Office","L1 - 200L",2,1
"b77ca922",21,"Saturday",144,80,"Web","O - 300L",3,0
"0e5cca63",10,"Saturday",0,37,"Back Office","M - 200L",11,1
"2ae90492",29,"Monday",83,34,"Web","D - 100L",2,0
"9a7ef465",18,"Tuesday",1,23,"Back Office","G - 100L",3,1
"5f5916e1",10,"Wednesday",30,65,"Back Office","P - 300L",4,0
"9a7ef465",2,"Wednesday",0,53,"Back Office","R - 300L",10,1
"af8c58bb",21,"Saturday",12,60,"Web","R - 300L",4,1
"2d4e832c",4,"Wednesday",2,75,"Back Office","R - 300L",7,0
"2a56e561",16,"Tuesday",12,34,"Web","D - 100L",3,0
NA,31,"Saturday",0,17,"Box Office","D - 100L",1,1
"e995f59a",29,"Saturday",0,61,"Box Office","R - 300L",2,0
"baf64d2b",18,"Tuesday",25,30,"Back Office","H - 100L",2,0
"de983506",31,"Saturday",5,34,"Web","D - 100L",2,0
"df9227a0",28,"Thursday",3,48,"Back Office","P - 300L",2,0
"e1ff64a2",3,"Thursday",48,30,"Web","F -100L",2,0
"4a9e158d",10,"Wednesday",211,40,"Web","L1 - 200L",3,1
"0e5cca63",14,"Thursday",1,21,"Back Office","G - 100L",2,1
"aecea456",20,"Sunday",12,67,"Back Office","R - 300L",2,0
"0c8279fb",1,"Thursday",4,36,"Web","L1 - 200L",2,0
"a118a502",10,"Saturday",36,78,"Web","R - 300L",3,0
"59496ac9",21,"Thursday",42,43,"Web","L2 - 200L",5,0
"906abe19",29,"Monday",0,26,"Web","C - 100L",2,0
"87a4e41e",21,"Saturday",0,70,"Box Office","R - 300L",2,0
"0e5cca63",9,"Friday",1,78,"Back Office","R - 300L",4,1
"55d774e4",4,"Thursday",88,53,"Web","Q - 300L",5,0
"0e5cca63",7,"Monday",0,38,"Back Office","L1 - 200L",2,1
"3a8832eb",28,"Sunday",1,26,"Web","C - 100L",1,1
"f221f02b",23,"Monday",4,56,"Back Office","Q - 300L",2,1
"0e5cca63",16,"Thursday",0,50,"Back Office","R - 300L",2,1
"473a249d",21,"Thursday",58,44,"Web","L2 - 200L",10,0
"cbef3d5d",30,"Sunday",0,80,"Web","O - 300L",2,0
"14e2d38a",31,"Saturday",26,61,"Back Office","R - 300L",8,1
"1ec66595",22,"Wednesday",29,29,"Back Office","F -100L",3,0
"c03518b9",31,"Monday",0,43,"Back Office","L2 - 200L",12,0
"c06f5848",27,"Wednesday",36,21,"Back Office","G - 100L",2,0
"2d3117a6",26,"Saturday",1,47,"Web","P - 300L",2,0
"c2d4dcce",24,"Thursday",2,27,"Web","D - 100L",2,0
"201fa541",28,"Saturday",64,50,"Back Office","R - 300L",3,0
"f2381d1e",27,"Thursday",1,26,"Web","C - 100L",2,0
"152e2317",29,"Saturday",184,63,"Web","P - 300L",2,0
"44d8c8ca",19,"Sunday",0,68,"Box Office","R - 300L",2,0
"b3ba8a32",31,"Saturday",47,30,"Back Office","H - 100L",4,1
"2d295e6e",3,"Sunday",8,29,"Web","F -100L",4,0
"31b9be29",3,"Thursday",15,16,"Web","C - 100L",2,0
"125891c6",5,"Wednesday",0,78,"Web","R - 300L",2,0
"b3ba8a32",15,"Saturday",5,80,"Back Office","O - 300L",4,1
"7c3ce81f",25,"Thursday",0,50,"Box Office","R - 300L",2,0
"a456cb0a",4,"Wednesday",27,16,"Web","C - 100L",2,0
"f221f02b",23,"Monday",0,31,"Back Office","H - 100L",7,1
"f8c2fe0e",26,"Saturday",14,80,"Web","P - 300L",6,0
"b3ba8a32",20,"Sunday",76,21,"Back Office","I - 100L",2,1
"6fc15b48",23,"Saturday",1,49,"Web","N - 300L",2,0
"7ccddd2b",21,"Saturday",0,53,"Web","Q - 300L",2,0
"f3b19873",3,"Thursday",7,47,"Web","P - 300L",6,0
"45c35e31",24,"Tuesday",2,29,"Web","F -100L",3,0
"d6fc4237",16,"Tuesday",22,30,"Web","F -100L",3,0
"7d8fefc1",23,"Saturday",42,69,"Web","R - 300L",2,0
"b74a54d6",8,"Monday",0,76,"Web","R - 300L",1,1
"1a55785f",28,"Sunday",16,79,"Web","N - 300L",2,0
"4022e365",24,"Tuesday",27,40,"Web","L1 - 200L",3,0
"f0bbd760",13,"Tuesday",133,23,"Web","G - 100L",2,0
"778fb374",26,"Saturday",7,33,"Web","D - 100L",5,0
"38f03da1",30,"Sunday",0,64,"Web","P - 300L",1,1
"1ec66595",22,"Wednesday",0,66,"Back Office","P - 300L",3,0
"eb1ca7a0",16,"Saturday",33,29,"Back Office","F -100L",9,0
"2b10f55d",6,"Tuesday",19,69,"Web","R - 300L",1,1
"ceec916e",30,"Sunday",4,70,"Web","R - 300L",2,0
"b3ba8a32",7,"Monday",14,21,"Back Office","I - 100L",6,1
"f538d5c6",23,"Saturday",18,66,"Back Office","P - 300L",2,1
"92ebd66c",20,"Thursday",28,32,"Web","F -100L",4,0
"9451cc6f",2,"Wednesday",0,67,"Box Office","R - 300L",7,1
"156478e5",27,"Thursday",1,32,"Web","F -100L",2,1
"2d734741",11,"Tuesday",36,35,"Back Office","L1 - 200L",2,1
"a58e77a5",20,"Saturday",141,21,"Web","I - 100L",2,0
"420abab4",22,"Wednesday",10,20,"Web","D - 100L",1,0
"708ee855",24,"Monday",98,55,"Back Office","R - 300L",2,0
"a2761ec3",10,"Thursday",0,67,"Web","R - 300L",1,0
"01ee167d",24,"Saturday",173,41,"Web","K - 200L",2,0
"87c6fec7",30,"Saturday",40,26,"Web","C - 100L",1,0
"c06f5848",27,"Wednesday",9,39,"Back Office","M - 200L",6,0
"0e5cca63",7,"Monday",0,31,"Back Office","H - 100L",1,1
"bebd4771",13,"Monday",64,35,"Web","L1 - 200L",3,0
"37f8dc1a",26,"Tuesday",1,24,"Back Office","D - 100L",2,0
"8bb783c3",24,"Saturday",66,78,"Back Office","R - 300L",8,0
"320f4e1d",16,"Tuesday",41,16,"Web","C - 100L",1,0
"de6744b7",9,"Monday",19,47,"Back Office","O - 300L",8,0
"b3ba8a32",31,"Saturday",11,63,"Back Office","O - 300L",3,1
"ae26752d",6,"Wednesday",15,69,"Back Office","R - 300L",4,0
"671e0cc1",3,"Tuesday",28,16,"Web","C - 100L",2,0
"48635269",2,"Wednesday",38,50,"Web","R - 300L",2,0
"b32da8b1",3,"Tuesday",46,20,"Back Office","B",2,1
"f0b37db1",23,"Saturday",1,50,"Web","R - 300L",3,0
"8fa210b7",14,"Saturday",6,18,"Web","D - 100L",2,0
"f3868427",11,"Saturday",42,80,"Web","O - 300L",2,0
"708ee855",24,"Monday",14,58,"Back Office","R - 300L",1,0
NA,26,"Sunday",0,56,"Box Office","R - 300L",1,1
"1c6729d4",9,"Thursday",0,79,"Web","P - 300L",3,0
"4669d46f",23,"Saturday",0,60,"Web","R - 300L",2,0
NA,21,"Sunday",12,17,"Box Office","D - 100L",2,1
"1d4734c5",15,"Friday",1,16,"Web","C - 100L",3,0
"a6b138a2",15,"Saturday",214,28,"Web","D - 100L",2,0
"c5213f20",6,"Tuesday",1,17,"Web","D - 100L",2,0
"6b914ee2",2,"Wednesday",1,45,"Web","L2 - 200L",2,0
"a26092d5",25,"Saturday",197,27,"Web","D - 100L",1,1
"b41fc311",21,"Sunday",1,64,"Web","O - 300L",3,0
"b3ba8a32",7,"Monday",18,35,"Back Office","L1 - 200L",2,1
"b3ba8a32",15,"Saturday",33,61,"Back Office","R - 300L",1,1
"4e1e4995",30,"Saturday",26,32,"Back Office","F -100L",2,1
"c8659e3d",26,"Tuesday",50,22,"Web","I - 100L",3,0
"2c2259c2",31,"Tuesday",32,55,"Web","R - 300L",6,0
"40b5f830",12,"Saturday",5,17,"Web","D - 100L",3,1
NA,21,"Thursday",0,79,"Box Office","N - 300L",1,1
"6d71cb0b",6,"Tuesday",0,47,"Box Office","O - 300L",1,0
"2d734741",11,"Tuesday",1,21,"Back Office","G - 100L",4,1
"29e0da0e",3,"Sunday",55,23,"Web","G - 100L",4,0
"9a7ef465",27,"Saturday",3,46,"Back Office","K - 200L",3,1
"dc109f66",30,"Thursday",14,23,"Web","D - 100L",4,0
"ae26752d",6,"Wednesday",55,26,"Back Office","C - 100L",2,0
"a933e995",18,"Saturday",17,49,"Back Office","P - 300L",5,0
"b9b86b37",9,"Thursday",40,65,"Web","N - 300L",2,0
"9a7ef465",25,"Saturday",0,25,"Back Office","D - 100L",4,1
"9d236037",8,"Monday",1,32,"Web","F -100L",4,1
"f99cf7d2",21,"Sunday",1,63,"Web","O - 300L",1,0
"f8263426",13,"Sunday",3,67,"Web","R - 300L",1,1
"25864516",26,"Sunday",39,27,"Web","D - 100L",3,0
"14e2d38a",31,"Saturday",0,80,"Back Office","P - 300L",27,1
"17fc9760",16,"Saturday",72,67,"Web","R - 300L",2,0
"ff6377a0",31,"Saturday",30,67,"Web","R - 300L",2,0
"c1e09c7b",14,"Saturday",0,47,"Box Office","P - 300L",2,0
"d5768319",17,"Saturday",0,32,"Box Office","F -100L",1,1
"5343fd63",30,"Sunday",4,26,"Web","C - 100L",2,0
"b0e0204a",25,"Thursday",15,30,"Web","H - 100L",3,0
"ca46c383",19,"Thursday",23,27,"Back Office","D - 100L",2,0
"b3ba8a32",5,"Thursday",66,26,"Back Office","C - 100L",3,1
"8f4aa97d",1,"Thursday",3,56,"Web","R - 300L",2,0
"cbd70f72",23,"Saturday",5,33,"Back Office","D - 100L",4,1
"2d734741",11,"Tuesday",22,25,"Back Office","D - 100L",9,1
"c2a326f3",27,"Monday",1,71,"Web","R - 300L",4,0
"16a9ae63",26,"Saturday",4,42,"Web","L2 - 200L",3,1
NA,21,"Thursday",0,78,"Box Office","R - 300L",1,1
"2fa69f9d",1,"Thursday",0,80,"Web","P - 300L",2,0
"4e1e4995",1,"Saturday",5,38,"Back Office","M - 200L",1,1
"61347e4d",24,"Tuesday",0,58,"Web","R - 300L",1,0
"b3ba8a32",7,"Monday",42,26,"Back Office","C - 100L",2,1
"8bb783c3",24,"Saturday",3,64,"Back Office","P - 300L",3,0
"f844d703",31,"Saturday",12,79,"Web","P - 300L",5,0
"ab0dbfea",22,"Thursday",136,29,"Web","F -100L",4,0
"f2507af9",7,"Wednesday",1,55,"Web","R - 300L",6,0
"bffa30bd",24,"Saturday",175,36,"Web","M - 200L",2,0
"b9778742",27,"Saturday",14,63,"Web","O - 300L",2,0
"211be24e",26,"Saturday",34,27,"Web","D - 100L",4,0
"190b0db7",15,"Friday",0,22,"Web","I - 100L",2,0
"9a7ef465",16,"Saturday",3,20,"Back Office","G - 100L",5,1
"afd10256",30,"Thursday",31,77,"Web","R - 300L",3,1
"dc7a271e",18,"Saturday",1,80,"Web","P - 300L",3,0
"34c22bf8",24,"Tuesday",2,19,"Web","G - 100L",2,1
"eaa0bcbf",21,"Thursday",8,25,"Back Office","D - 100L",4,0
"b6edc13c",26,"Saturday",22,28,"Web","D - 100L",3,0
