"","opponent","event_day_of_week","days_before_event","section_name","channel","price_level","primary_tickets_sold","primary_average_ticket_price","churn"
"1",17,"Tuesday",0,69,"Web","R - 300L",2,"$32.83",0
"2",13,"Monday",0,16,"Back Office","C - 100L",1,"$121.92",0
"3",2,"Wednesday",2,56,"Web","Q - 300L",3,"$30.93",0
"4",16,"Saturday",11,79,"Back Office","O - 300L",3,"$63.50",0
"5",22,"Wednesday",35,25,"Web","D - 100L",3,"$115.67",0
"6",20,"Sunday",48,78,"Back Office","R - 300L",2,"$25.38",0
"7",24,"Tuesday",2,26,"Web","C - 100L",1,"$74.52",0
"8",16,"Saturday",5,22,"Back Office","G - 100L",3,"$95.89",1
"9",7,"Monday",4,61,"Box Office","R - 300L",1,"$31.28",1
"10",14,"Wednesday",1,47,"Box Office","O - 300L",3,"$45.32",1
"11",3,"Sunday",0,66,"Back Office","O - 300L",23,"$30.99",0
"12",23,"Saturday",0,56,"Web","R - 300L",4,"$39.82",0
"13",5,"Tuesday",50,21,"Web","I - 100L",1,"$127.60",0
"14",19,"Sunday",2,19,"Web","G - 100L",2,"$61.75",0
"15",18,"Thursday",0,61,"Box Office","R - 300L",2,"$42.56",1
"16",3,"Thursday",62,16,"Web","C - 100L",2,"$191.70",0
"17",3,"Sunday",0,66,"Web","O - 300L",2,"$67.73",0
"18",12,"Saturday",0,32,"Web","F -100L",5,"$60.29",0
"19",9,"Thursday",4,22,"Web","G - 100L",1,"$99.26",0
"20",29,"Monday",0,66,"Web","O - 300L",2,"$45.25",0
"21",18,"Saturday",0,50,"Box Office","R - 300L",2,"$43.74",1
"22",25,"Thursday",3,53,"Web","R - 300L",7,"$36.76",0
"23",15,"Saturday",24,20,"Back Office","G - 100L",2,"$84.56",0
"24",29,"Monday",3,60,"Web","R - 300L",4,"$21.15",0
"25",22,"Wednesday",0,56,"Back Office","R - 300L",13,"$15.80",0
"26",20,"Tuesday",126,33,"Web","D - 100L",2,"$107.68",0
"27",24,"Saturday",207,40,"Web","L1 - 200L",2,"$96.01",0
"28",27,"Monday",236,22,"Web","I - 100L",2,"$77.40",1
"29",13,"Sunday",0,60,"Box Office","R - 300L",1,"$28.84",1
"30",27,"Saturday",12,36,"Back Office","M - 200L",2,"$73.36",0
"31",7,"Monday",0,20,"Back Office","G - 100L",1,"$140.00",1
"32",25,"Thursday",0,72,"Web","R - 300L",3,"$29.29",0
"33",12,"Saturday",3,42,"Web","L2 - 200L",6,"$87.72",0
"34",21,"Sunday",25,38,"Web","M - 200L",2,"$94.83",0
"35",3,"Saturday",0,31,"Back Office","H - 100L",2,"$100.40",1
"36",31,"Tuesday",77,17,"Web","D - 100L",2,"$133.08",0
"37",4,"Thursday",8,80,"Back Office","P - 300L",1,"$50.47",0
"38",23,"Saturday",0,48,"Web","P - 300L",3,"$63.84",0
"39",13,"Monday",0,21,"Back Office","I - 100L",5,"$60.46",1
"40",10,"Thursday",29,16,"Web","C - 100L",2,"$160.68",0
"41",30,"Thursday",0,38,"Back Office","M - 200L",5,"$54.26",1
"42",20,"Tuesday",95,11,"Web","J",2,"$104.40",0
"43",30,"Sunday",6,75,"Web","Q - 300L",1,"$40.94",1
"44",25,"Saturday",17,19,"Web","G - 100L",2,"$217.74",0
"45",1,"Monday",0,32,"Back Office","F -100L",3,"$73.71",1
"46",20,"Saturday",0,50,"Box Office","R - 300L",2,"$60.76",1
"47",21,"Sunday",15,80,"Web","O - 300L",2,"$67.85",1
"48",25,"Saturday",226,63,"Web","P - 300L",2,"$81.00",1
"49",31,"Monday",0,33,"Back Office","D - 100L",36,"$50.61",0
"50",19,"Thursday",108,16,"Back Office","C - 100L",4,"$159.64",1
"51",8,"Monday",3,77,"Web","R - 300L",1,"$41.65",1
"52",18,"Saturday",4,38,"Back Office","L1 - 200L",4,"$89.49",1
"53",16,"Thursday",2,58,"Web","R - 300L",4,"$19.84",0
"54",18,"Saturday",12,30,"Web","H - 100L",2,"$96.10",0
"55",14,"Saturday",6,23,"Web","G - 100L",2,"$197.23",1
"56",18,"Saturday",12,29,"Web","F -100L",1,"$74.50",0
"57",1,"Saturday",0,42,"Back Office","K - 200L",1,"$70.31",0
"58",5,"Thursday",66,25,"Back Office","D - 100L",2,"$115.75",0
"59",27,"Monday",0,38,"Web","L1 - 200L",5,"$39.53",0
"60",25,"Thursday",1,67,"Web","R - 300L",2,"$25.25",1
"61",5,"Wednesday",8,27,"Web","D - 100L",1,"$257.75",0
"62",21,"Saturday",80,21,"Web","I - 100L",5,"$92.87",0
"63",16,"Saturday",68,27,"Back Office","D - 100L",2,"$137.70",0
"64",26,"Tuesday",0,17,"Back Office","D - 100L",6,"$72.06",0
"65",4,"Thursday",0,61,"Box Office","R - 300L",5,"$31.61",1
"66",20,"Saturday",0,38,"Back Office","M - 200L",6,"$47.62",1
"67",25,"Saturday",11,19,"Back Office","G - 100L",4,"$156.52",1
"68",23,"Saturday",0,19,"Back Office","G - 100L",1,"$106.08",1
"69",22,"Wednesday",23,51,"Back Office","R - 300L",6,"$19.58",0
"70",2,"Monday",183,62,"Web","O - 300L",2,"$87.20",0
"71",27,"Monday",1,34,"Web","D - 100L",4,"$118.32",0
"72",9,"Thursday",7,20,"Web","G - 100L",3,"$93.02",0
"73",16,"Saturday",18,36,"Back Office","L1 - 200L",4,"$80.31",0
"74",26,"Sunday",4,61,"Box Office","R - 300L",1,"$26.36",1
"75",2,"Wednesday",33,34,"Web","D - 100L",2,"$158.86",0
"76",24,"Saturday",205,16,"Web","C - 100L",3,"$192.00",0
